Name,Type,Spatial Range,Temporal Range,Download Link
Performance Measurement System (PeMS) Data,"Traffic speed, traffic flow","California, USA",2001-2019,http://pems.dot.ca.gov/
METR-LA,"Traffic speed, traffic flow","Los Angeles, USA",2012,https://github.com/liyaguang/DCRNN
Seattle-Loop-Data,Traffic Speed,"Seattle, USA",2015,https://github.com/zhiyongc/Seattle-Loop-Data
Traffic Speed Guangzhou,Traffic speed,"Guangzhou, China",2016,https://zenodo.org/record/1205229
Traffic Flow Madrid,Traffic flow,"Madrid, Spain",Regularly updated,http://datos.madrid.es/
Traffic Flow Whitemud Drive,Traffic flow,"Whitemud Drive, Canada",2015,http://www.openits.cn/openData1/700.jhtml
UTD19,Traffic capacity,40 cities globally,Various time periods,https://utd19.ethz.ch/index.html
PORTAL,Traffic speed,"Portland Vancouver Metropolitan region, USA",Regularly updated,https://portal.its.pdx.edu/home
Verkehrsdaten Darmstadt,Traffic flow,"Darmstadt, Germany",Regularly updated since 2019,https://datenplattform.darmstadt.de/verkehr/apps/opendata/
