Name,Type,Spatial Range,Temporal Range,Download Link
Twitter Geospatial Data,Check-ins,N/A,2013,https://archive.ics.uci.edu/dataset/1050/twitter+geospatial+data
Baidu Traffic,Traffic speed from navigation apps,"Beijing, China",2017,https://github.com/JingqingZ/BaiduTraffic
Alibaba Cloud Tianchi Dataset,Traffic time from navigation apps,"Guiyang, China",2017,https://tianchi.aliyun.com/competition/entrance/231598/information
Brightkite,Check-ins,N/A,2008-2010,https://snap.stanford.edu/data/loc-brightkite.html
Gowalla,Check-ins,N/A,2009-2010,https://snap.stanford.edu/data/loc-gowalla.html
Foursquare,Check-ins,"NYC, USA",2011-2012,https://sites.google.com/site/yangdingqi/home/foursquare-dataset
Yelp,Check-ins,Multiple cities globally,Regularly updated,https://www.yelp.com/dataset
MapBJ,Traffic congestion from navigation apps,"Beijing, China",2016,https://github.com/cxysteven/MapBJ
Tecent API,Traffic flow index,China,2015-now,https://heat.qq.com/
